open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote
1771988400000,65884.84,65955.87,65350.28,65391.73,801.79518,1771991999999,52599200.701555,275871,406.04783,26639948.6824499
1771992000000,65391.74,65650.0,65116.65,65457.99,723.49717,1771995599999,47351907.2407518,210217,367.59794,24060841.9741403
1771995600000,65458.0,65511.21,64755.26,64882.76,831.61343,1771999199999,54116037.4659125,238985,321.02522,20885429.69215
1771999200000,64882.77,65124.04,64865.78,64898.22,394.76962,1772002799999,25657252.3878366,133561,162.39245,10556063.9540582
1772002800000,64898.22,65193.25,64781.18,65028.3,682.59011,1772006399999,44377722.870949,175452,333.64546,21694377.5587094
1772006400000,65028.3,65586.87,64955.79,65530.49,694.36389,1772009999999,45336298.8017456,226622,472.55057,30846035.1343168
1772010000000,65530.48,65692.62,65396.47,65558.71,545.80832,1772013599999,35769140.7936332,172294,286.20326,18757604.6762316
1772013600000,65558.71,65648.74,65345.0,65400.87,315.12553,1772017199999,20626885.5352027,109018,162.15126,10612545.4231633
1772017200000,65400.87,65485.91,65200.8,65430.04,442.6001,1772020799999,28925749.7308877,135299,240.18925,15697450.020483
1772020800000,65430.04,66240.0,65324.62,66068.94,1316.71816,1772024399999,86734789.4956407,260808,733.57331,48301098.6486266
1772024400000,66068.94,66684.1,66025.39,66248.62,1860.04287,1772027999999,123339028.5424222,286178,1102.46723,73101311.1553556
1772028000000,66248.63,67009.78,66202.66,66973.2,2180.16784,1772031599999,145132058.0582635,466302,1369.18678,91166111.8926092
1772031600000,66973.19,67578.0,66715.13,67412.33,2522.90832,1772035199999,169507855.1542505,542162,1559.66491,104802096.5323239
1772035200000,67412.32,68332.0,67404.0,68297.35,2059.42933,1772038799999,139813571.1948698,401863,1227.83858,83369478.0905434
1772038800000,68297.35,68879.96,68016.53,68674.2,2463.18666,1772042399999,168786768.5054116,464579,1262.94653,86591141.7286811
1772042400000,68674.2,69550.0,68373.33,69328.07,2105.00773,1772045999999,145526785.8736392,393399,1084.47708,74962794.2258217
1772046000000,69328.06,69406.93,68764.94,69038.26,1672.83962,1772049599999,115438135.6977093,277301,696.80553,48071355.8865963
1772049600000,69038.26,69374.95,68619.22,69148.69,1076.93003,1772053199999,74300233.004162,240410,504.65119,34831864.9416372
1772053200000,69148.69,69988.83,68773.83,68919.72,1562.1195,1772056799999,108221103.7932865,408272,753.74962,52246511.9942365
1772056800000,68919.72,69176.0,68055.91,68432.13,1092.88431,1772060399999,74950598.3032016,233470,512.20726,35117431.959284
1772060400000,68432.13,68696.97,67600.0,67988.04,1020.21792,1772063999999,69488141.7269213,247921,497.86099,33898255.6943941
1772064000000,67988.04,68539.17,67727.52,68335.99,1134.56842,1772067599999,77352015.3656892,298508,668.01659,45535050.5911491
1772067600000,68335.99,68700.0,68210.35,68248.3,619.19035,1772071199999,42366665.7717037,207502,287.23812,19658888.6624845
1772071200000,68248.3,68351.0,67779.93,68257.45,833.1941,1772074799999,56667194.4748912,233657,417.65474,28403789.2037133
1772074800000,68257.46,68379.59,68044.18,68216.86,408.51743,1772078399999,27857628.50825,159656,192.36795,13118001.8195884
1772078400000,68216.87,68860.0,68179.62,68571.36,587.55874,1772081999999,40304104.4766703,206550,321.07807,22022797.3111382
1772082000000,68571.36,68571.37,68127.58,68443.81,486.81983,1772085599999,33270378.5995228,197086,246.16169,16823279.3080025
1772085600000,68443.82,68522.0,68042.9,68176.75,618.63359,1772089199999,42244843.4805846,150849,272.99163,18645928.7932975
1772089200000,68176.75,68290.18,67817.87,67825.04,840.14406,1772092799999,57163396.6206198,162726,277.63138,18898315.6925496
1772092800000,67825.05,68236.0,67792.0,67954.01,761.69108,1772096399999,51807155.8530204,195255,393.02712,26735885.2773727
1772096400000,67954.0,68644.59,67933.25,68589.41,1095.31619,1772099999999,74884093.2230868,178292,658.94281,45065174.5276737
1772100000000,68589.41,68722.64,68257.64,68301.62,688.66072,1772103599999,47155991.9019326,162357,340.52233,23317962.4233416
1772103600000,68301.61,68404.25,67965.46,68051.31,722.94931,1772107199999,49283812.4216666,149497,300.82291,20511760.8124713
1772107200000,68051.3,68303.83,68009.88,68171.56,642.07881,1772110799999,43776075.9603184,177554,350.63628,23906183.8218189
1772110800000,68171.55,68213.98,67848.69,67905.35,698.96783,1772114399999,47562785.1908964,212302,336.50851,22901580.9390547
1772114400000,67905.34,68272.21,67264.22,67697.74,1769.26733,1772117999999,119875677.6832928,490673,769.44178,52136404.3652756
